name,orgnr,omsattning_tkrk,anstallda,ort,branscher,allabolag_url
"Systrarna Brådhe AB",559191-7470,17265,17,"611 76 Nävekvarn","Catering;Livsmedel;Restauranger;Kontor- och teletjänster;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/systrarna-br%C3%A5dhe-ab/n%C3%A4vekvarn/-/5591917470
"Sweden Light Solutions AB",559054-5637,10122,2,"543 32 Tibro","Konsulter;Teknikkonsulter;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sweden-light-solutions-ab/tibro/-/5590545637
"Sveto AB",556722-6534,13082,2,"192 78 Sollentuna","Fastighetsbolag, lokaler;Finansbolag, finansiella tjänster;Postorder/e-handel;Ljudanläggningar, ljusanläggningar, bildanläggningar;Värdepappershandel;Grossister;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/sveto-ab/sollentuna/-/5567226534
"Svenssons Fritidsmöbler AB",556830-8778,11567,3,"311 32 Falkenberg","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/svenssons-fritidsm%C3%B6bler-ab/falkenberg/-/5568308778
"SuperBasket Sweden AB",556703-0191,19859,7,"518 33 Sandared","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/superbasket-sweden-ab/sandared/-/5567030191
"Sueno AB",559190-1920,11674,4,"721 38 Västerås","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sueno-ab/v%C3%A4ster%C3%A5s/-/5591901920
"Studio Badrum Sverige AB",559166-8206,10375,0,"443 39 Lerum","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/studio-badrum-sverige-ab/lerum/-/5591668206
"Storey interior design group AB",556826-8451,11521,2,"114 52 Stockholm","Arkitekter;Designers, formgivare;Byggmästare;Möbler;Snickeriarbeten;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/storey-interior-design-group-ab/stockholm/-/5568268451
"Stonelab Sverige AB",556936-1537,13112,3,"116 22 Stockholm","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/stonelab-sverige-ab/stockholm/-/5569361537
"Stokke Fabriker Aktiebolag",556127-2963,12904,5,"025
12 904","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/stokke-fabriker-aktiebolag/str%C3%B6mstad/-/5561272963
"Stockholm Mattor och Golv AB",556322-2289,17169,3,"115 31 Stockholm","Belysningsarmatur - Komponenter;Byggmästare;Möbler;Grossister;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/stockholm-mattor-och-golv-ab/stockholm/-/5563222289
"Sthlm Swe Interior AB",556751-9078,10704,2,"116 61 Stockholm","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sthlm-swe-interior-ab/stockholm/-/5567519078
"Stenungsund Europaljus AB",556717-5657,13010,2,"444 55 Stenungsund","Belysningsarmatur - Komponenter;Catering;Grossister;Skolor och utbildning",https://www.allabolag.se/foretag/stenungsund-europaljus-ab/stenungsund/-/5567175657
"Steningekompaniet AB",556715-2052,15065,6,"195 59 Märsta","Möbler;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Blommor, växter och tillbehör",https://www.allabolag.se/foretag/steningekompaniet-ab/m%C3%A4rsta/-/5567152052
"Steninge Snickeri AB",559348-9445,10191,7,"311 68 Slöinge","Byggmästare;Dörrar, portar;Fönster;Möbler;Snickeriarbeten;Trävaror;Möbler - Produktion;Producenter;Trävaror - produktion;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/steninge-snickeri-ab/sl%C3%B6inge/-/5593489445
"Sten Nilssons Elektriska AB",556540-2517,14831,12,"374 93 Karlshamn","Byggmästare;Elinstallationer;Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sten-nilssons-elektriska-ab/karlshamn/-/5565402517
