orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556597-0265,Advokatfirman Lindenlaw Bengt Åkesson AB,Advokatfirman Lindenlaw Bengt Åkesson AB,69101,,69101,ÅHUS,29638,VIDEVÄGEN 24,Bolaget skall bedriva advokatverksamhet.,2000-09-06,active,,,,
556577-7264,Jörtells Åkeri Aktiebolag,Jörtells Åkeri Aktiebolag,49410,,49410,BORÅS,50638,TORGILSGATAN 12 C,Aktiebolaget ska bedriva åkeri och kapitalförvaltning liksom förvaltning av aktier i dotterbolag och därmed förenliga verksamheter.,1999-10-27,active,,,,
556544-6522,Knowit Group Sverige AB,Knowit Group Sverige AB,70100,,70100,STOCKHOLM,10368,BOX 3383,"Bolaget ska, direkt eller indirekt, bedriva konsultverksamhet inom teknik- och systemutveckling, programmering, analys, affärsutveckling, rådgivning, utbildning, utföra drift- och underhållstjänster inom informationsteknikområdet, utveckla, upplåta och överlåta program- och hårdvara, äga och förvalta fast och lös egendom samt idka därmed förenlig verksamhet.",1997-08-26,active,,,,
556426-3019,Erikssons Bygg & Timmer Aktiebolag,Erikssons Bygg & Timmer Aktiebolag,43240,,"43240; 41000; 43999; 96230",HEDEMORA,77691,HÖJEN 13,"Bolaget skall utföra byggnadsverksamhet och försäljning av byggnadsvaror, liksom utföra stensättning och markarbeten ävensom idka därmed förenlig verksamhet. Handel med fordon och maskiner ävensom därmed förenlig verksamhet.",1991-05-15,active,,,,
556545-0698,MEDAK Konsult AB,MEDAK Konsult AB,70200,,70200,NACKA,13147,EKTORPSVÄGEN 21,"Bolaget skall bedriva konsultverksamhet inom företrädesvis dels allt som berör transport- och livsmedelsområdet, dels miljö- och återvinningsområdet, dels fastighetsrelaterad verksamhet, samt ävensom idka annan därmed förenlig verksamhet.",1997-09-08,active,,,,
556579-8252,Rosersbergs Redovisningsbyrå Aktiebolag,Rosersbergs Redovisningsbyrå Aktiebolag,69201,,69201,ROSERSBERG,19570,NORRSUNDAVÄGEN 105,Bolaget skall bedriva konsultverksamhet och redovisnings- verksamhet inom ekonomi samt bedriva förvaltning av fast och lös egendom ävensom idka därmed förenlig verksamhet.,1999-11-17,active,,,,
556581-3853,Carl Zettersten Murare AB,Carl Zettersten Murare AB,43310,,43310,NYKÖPING,61195,TUNA BY,"Bolaget skall bedriva byggnadsverksamhet, inköp och försäljning av fastigheter samt därmed förenlig verksamhet.",1999-12-15,active,,,,
556578-9350,Torslanda Plåt & Isolering AB,Torslanda Plåt & Isolering AB,43230,,"43230; 43411",TORSLANDA,42355,STALLVÄGEN 54,"Bolaget skall bedriva byggverksamhet, ävensom idka därmed förenlig verksamhet.",1999-11-03,active,,,,
556582-7721,Siljans Glasmästeri i Leksand AB,Siljans Glasmästeri i Leksand AB,43342,,43342,LEKSAND,79330,STATIONSGATAN 6 A,"Bolaget skall bedriva detaljhandel inom glasmästeribranschen, att äga, bedriva teknisk och ekonomisk förvaltning av fastigheter och därmed förenlig veksamhet.",2000-01-31,active,,,,
556581-9256,Borås & Kungsbacka Lås och Säkerhet AB,Borås & Kungsbacka Lås och Säkerhet AB,43240,,43240,BORÅS,50330,SKARABORGSVÄGEN 40,"Bolaget skall bedriva mekanisk verkstadsrörelse, lås- och sliparbeten i Borås, servicearbeten på lås och dörrautomatiker i Kungsbacka samt äga och förvalta värdepapper samt därmed förenlig verksamhet.",1999-12-22,active,,,,
