orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556447-9631,Hey Presto AB,Hey Presto AB,46420,,46420,STOCKHOLM,11458,GREVGATAN 51  LGH 1005,"Bolaget skall bedriva handel med konfektion, skor och porslin konsultarbeten inom fastighetsbranschen, bolagsöverlåtelser, tvättanläggningar, båtuthyrning samt läxhjälp, jämte idka därmed förenlig verksamhet.",1992-05-14,active,,,,
556448-3211,China Express Aktiebolag,China Express Aktiebolag,47761,,"47761; 56110",HELSINGBORG,25484,STUTERIVÄGEN 78,"Bolaget skall driva restaurangverksamhet, handel med livsmedel samt idka därmed förenlig verksamhet.",1992-05-20,active,,,,
556410-8958,Bröderna i Bromölla Aktiebolag,Bröderna i Bromölla Aktiebolag,47522,,47522,BROMÖLLA,29531,STORGATAN 32,"Bolaget skall bedriva försäljning av järn, verktyg och maskiner för hushåll, industri och byggnation, samt därmed förenlig verksamhet.",1990-11-22,active,,,,
556460-2612,Curatech Aktiebolag,Curatech Aktiebolag,46841,,"46841; 41000",ALINGSÅS,44132,GÖTEBORGSVÄGEN 16,"Bolaget skall bedriva konsultverksamhet avseende marknadsföring, handel med verktyg, elektriska handmaskiner, industritillbehör, fritidsbåtar och båttillbehör samt bedriva byggentreprenadverksamhet, byggledning och fastighetsförvaltning ävensom idka därmed förenlig verksamhet.",1993-01-07,active,,,,
556280-5936,Linskliniken Sthlm AB,Linskliniken Sthlm AB,47742,,47742,STOCKHOLM,10241,BOX 5049,"Bolaget skall bedriva allmän synkontrollerad och synförbättrande verksamhet (inklusive forskning), förvaltning av fast och lös egendom, rådgivning åt företag och företagsledningar, samt därmed förenlig verksamhet.",1986-09-02,active,,,,
556290-5181,Byggutvecklarna Trångsund AB,Byggutvecklarna Trångsund AB,46831,,"46831; 71121; 81100",TRÅNGSUND,14264,ODONBACKEN 14,Föremålet för bolagets verksamhet är att bedriva entreprenadverksamhet inom byggbranschen samt handla med byggnadsmaterial jämte därtill hörande tjänster samt därmed förenlig verksamhet.,1987-04-06,active,,,,
556435-9684,Macforum AB,Macforum AB,46501,,46501,GÖTEBORG,41109,ÖSTRA HAMNGATAN 16,"Föremålet för bolagets verksamhet skall vara att bedriva försäljning, utbildning och konsultation inom databranschen, samt därmed förenlig verksamhet.",1991-10-31,active,,,,
556436-7067,Örebro Bildemontering Aktiebolag,Örebro Bildemontering Aktiebolag,46871,,46871,BORÅS,50433,DRUVEFORSVÄGEN 32,"Bolaget skall idka handel med eller uthyrning av nya eller begagnade bilar, bildelar, biltillbehör eller reservdelar, redskap och maskiner för jordbruk eller entreprenadverksamhet inom byggnadsindustrin, maskiner för reparationer eller nedmontering av bilar ävensom idka därmed förenlig verksamhet samt äga och förvalta fast och lös egendom.",1991-11-08,active,,,,
556440-0751,Pelly Butiksinredningar Aktiebolag,Pelly Butiksinredningar Aktiebolag,46841,,46841,FALKENBERG,31132,ÅKAREVÄGEN 36,"Bolaget skall bedriva försäljning, service och montering av butiksinredningar, ävensom idka därmed förenlig verksamhet.",1991-12-20,active,,,,
556294-7472,Fuzz Holding AB,Fuzz Holding AB,46501,,"46501; 47403; 46491; 68201; 69201",KUNGSHAMN,45691,BJÖRNERÖD 1,"Bolaget skall bedriva försäljning och produktion av fritidsbåtar, äga och förvalta fast egendom samt idka därmed förenlig verksamhet.",1987-03-18,active,,,,
556419-8082,Xtreme Cargo Kvicksund AB,Xtreme Cargo Kvicksund AB,47811,,"47811; 46720",KVICKSUND,63532,RASHOLMSVÄGEN 9,"Föremålet för bolagets verksamhet är handel, uthyrning och tillverkning av motorfordon och släpvagnar samt handel med fritidsprodukter och reservdelar till motorfordon och släpvagnar. Tillverkning och reparation samt specialbyggnationer av fordon. Legomontage, svets- och maskinarbeten inom mekanisk verkstadsindustri. Äga och förvalta fastigheter och därmed förenlig verksamhet.",1991-02-20,active,,,,
556438-8790,GLASS GROSSISTEN I STOCKHOLM AB,GLASS GROSSISTEN I STOCKHOLM AB,47242,,47242,TÄBY,18713,BOX 7235,Föremålet för bolagets verksamhet ska vara försäljning och distribution av glass och därmed förenlig verksamhet.,1991-12-05,active,,,,
556426-6475,Esses Däck o Verkstads Aktiebolag,Esses Däck o Verkstads Aktiebolag,46720,,"46720; 68203",NYKÖPING,61145,FÖRETAGSVÄGEN 23,Bolaget skall bedriva försäljning av däck och reservdelar inom bilbranschen ävensom idka därmed förenlig verksamhet.,1991-05-24,active,,,,
556426-3852,Bitte Kai Rand & Co Sverige Aktiebolag,Bitte Kai Rand & Co Sverige Aktiebolag,47711,,47711,STOCKHOLM,11446,Grev Turegatan 15,Bolaget skall bedriva handel med och marknadsföring av konfektion ävensom idka därmed förenlig verksamhet.,1991-05-14,active,,,,
556408-1379,Avoki South AB,Avoki South AB,46501,,"46501; 95101; 95102",SOLNA,16904,BOX 4092,Bolaget ska bedriva försäljning av produkter och tjänster inom IT och digital kommunikation samt därmed förenlig verksamhet.,1990-11-14,active,,,,
556427-7175,Parkhallen i Örebro Aktiebolag,Parkhallen i Örebro Aktiebolag,47112,,47112,ÖREBRO,70009,BOX 9049,Bolaget skall som medlem i ICA-förbundet bedriva detaljhandelsröresle med dagligvaror samt idka därmed förenlig verksamhet.,1991-06-10,active,,,,
556410-5921,Indian Creek Aktiebolag,Indian Creek Aktiebolag,47711,,47711,ÄNGELHOLM,26230,ÖSTERGATAN 48,"Bolaget skall bedriva inköp och försäljning av kläder, fastighetsförvaltning samt därmed förenlig verksamhet.",1990-12-12,active,,,,
556414-1546,Fixbordet 1934 AB,Fixbordet 1934 AB,46471,,46471,HALMSTAD,30241,KRISTINEBERGSVÄGEN 17,"Bolaget skall bedriva försäljning av hopfällbara bord, stolar och övriga artiklar som tillhör konceptet fix, förvaltning av fastigheter och handel med värdepapper och därmed förenlig verksamhet.",1990-12-14,active,,,,
556428-1607,Kristineberg Park Aktiebolag,Kristineberg Park Aktiebolag,47811,,47811,STOCKHOLM,10123,BOX 190,"Föremålet för bolagets verksamhet ska bestå av att äga, förvalta och utveckla fastigheter samt därmed förenlig verksamhet.",1991-07-01,active,,,,
556429-9997,Hans & Henrik Hallberg Aktiebolag,Hans & Henrik Hallberg Aktiebolag,47300,,47300,BORGHOLM,38731,STRANDGATAN 4,Aktiebolaget ska äga och förvalta fast egendom samt därmed förenlig verksamhet.,1991-07-18,active,,,,
