orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556500-8900,Färghallen i Hällefors AB,Färghallen i Hällefors AB,47531,,47531,HÄLLEFORS,71234,HANDELSVÄGEN 4,"Bolaget skall bedriva försäljning av färg, tapeter, golvmaterial och övriga i branschen förekommande artiklar, utföra golvläggningstjänster samt konsultverksamhet inom branschen samt förenlig verksamhet.",1994-12-05,active,,,,
556526-8363,InConX AB,InConX AB,47401,,47401,STOCKHOLM,11164,VÄSTRA JÄRNVÄGSGATAN 7,Bolaget ska bedriva försäljning av produkter och tjänster inom elektronisk databehandling. Dessutom skall bolaget utveckla standardiserade lösningar för elektronisk meddelandeutväxling samt idka därmed förenlig verksamhet.,1995-10-27,active,,,,
556528-0079,Mirva Uppsala AB,Mirva Uppsala AB,46501,,"46501; 62201; 62202; 33120; 62900",UPPSALA,75450,ARKGATAN 1,"Bolaget skall bedriva marknadsföring, försäljning och uthyrning av IT-utrustning samt tillhörande tjänster och idka därmed förenlig verksamhet samt förvalta fast egendom.",1995-12-13,active,,,,
556504-2081,Outlet of Brands Kungsbacka AB,Outlet of Brands Kungsbacka AB,47711,,"47711; 47721; 68202",GÖTEBORG,41109,ÖSTRA HAMNGATAN 52,Bolaget skall bedriva detaljhandel med skor och kläder och därmed förenlig verksamhet.,1995-01-26,active,,,,
556530-0844,Restaurangmaskinbörsen Sales i Stockholm AB,Restaurangmaskinbörsen Sales i Stockholm AB,46649,,"46649; 47552; 70200",STOCKHOLM,11662,BLEKINGEGATAN 44,"Bolaget skall bedriva köp, försäljning, förmedling och uthyrning av nya och begagnade restaurangutrustningar, tillhandahålla konsulttjänster inom ekonomi-, administrations- och företagsledningsfrågor, äga och förvalta värdepapper och lös och fast egendom samt bedriva därmed förenlig verksamhet.",1996-04-01,active,,,,
556521-4516,Boutique Drottninggatan 47 i Karlshamn AB,Boutique Drottninggatan 47 i Karlshamn AB,47711,,47711,KARLSHAMN,37438,DROTTNINGGATAN 66,Bolaget skall bedriva detaljhandel med konfektion ävensom idka därmed förenlig verksamhet.,1995-07-19,active,,,,
556521-8152,Bestgiftspromo i skandinavien AB,Bestgiftspromo i skandinavien AB,46440,,"46440; 46501",NORRKÖPING,60224,FLEMMINGGATAN 30,"Bolaget skall bedriva försäljning av kontorsmaterial, profil- och reklamprodukter ävensom idka därmed förenlig verksamhet.",1995-07-20,active,,,,
556317-3482,HGL Olje Aktiebolag,HGL Olje Aktiebolag,46810,,46810,ANDERSTORP,33425,BOX 254,Bolaget skall bedriva handel med oljor och petroleumprodukter samt idka därmed förenlig verksamhet.,1988-02-03,active,,,,
556231-0556,Megrinn AB,Megrinn AB,46499,,46499,STOCKHOLM,11431,FLORAGATAN 19  5 TR,Bolaget skall bedriva försäljning av konsumentprodukter inom hem- elektronik och den kemisk-tekniska branschen samt äga och för- valta värdepapper och fast egendom ävensom idka annan därmed förenlig verksamhet.,1983-06-29,active,,,,
556483-8109,Kontorsutrustning i Hälsingland Aktiebolag,Kontorsutrustning i Hälsingland Aktiebolag,46472,,46472,HUDIKSVALL,82434,RÖNNINGEVÄGEN 2,"Bolaget skall bedriva handel med kontorsutrustning, dataprodukter och annat material för främst kontor, skolor och grafisk industri. Att förmedla information, att utföra därmed förenade tjänster samt att bedriva i samband därmed stående verksamhet. Bolaget skall även kunna äga och förvalta aktier, fastigheter och andelar utomstående företag och därmed förenlig verksamhet.",1994-03-02,active,,,,
