orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556653-1009,Adcompany Sweden AB,Adcompany Sweden AB,46420,,46420; 64994,JÖNKÖPING,55003,BOX 3039,Bolaget skall bedriva import och vidareförsäljning av reklam- och presentartiklar samt därmed förenlig verksamhet.,2003-12-19,active,,,,
556653-1637,Impulslarm Norrköping AB,Impulslarm Norrköping AB,47402,,47402,NORRKÖPING,60223,PLATINAGATAN 5,"Bolaget skall bedriva försäljning, montage och service av larm- produkter, förvalta fastigheter och därmed förenlig verksamhet.",2003-12-22,active,,,,
556653-6271,JEMKO AB,JEMKO AB,46649,,46649; 71122; 33200; 43222; 71124,TUMBA,14731,GRÖDINGEVÄGEN 49 B,"Bolaget skall bedriva verksamhet med försäljning av datoriserade produkter och system för installation och service av styr- och reglersystem inom klimat, värme, ventilation och kyla samt inom marina applikationer. Bolaget skall äga och förvalta fast och lös egendom, fastigheter, värdepapper och aktier, samt idka annan därmed förenlig verksamhet.",2004-01-09,active,,,,
556654-2337,AK:s Glas & Porslin i Kristinehamn AB,AK:s Glas & Porslin i Kristinehamn AB,47552,,47552,KRISTINEHAMN,68131,KUNGSGATAN 42,"Bolaget skall idka försäljning av glas, porslin, presentartiklar och husgeråd, äga och förvalta lös egendom samt därmed förenlig verksamhet.",2004-01-23,active,,,,
556655-9653,Klima-Therm AB,Klima-Therm AB,46842,,46842,PARTILLE,43330,ÖGÄRDESVÄGEN 17,"Bolagets verksamhet är att som grossist bedriva handel med produkter för byggsektorn såsom luftkonditionering, värmepumpar och kylutrustning samt bedriva därmed förenlig verksamhet.",2004-02-11,active,,,,
556399-6726,Sonix Svenska Försäljnings Aktiebolag,Sonix Svenska Försäljnings Aktiebolag,46432,,46432,DANDERYD,18238,UNDANGÖMDA STIGEN 15,Bolaget skall bedriva uthyrning av tv- samt videoutrustning till sjukhus och förvaltning av fast och lös egendom och därmed förenlig verksamhet.,1990-07-04,active,,,,
556634-2670,Lifeportalen Holding AB,Lifeportalen Holding AB,47634,,47634,STOCKHOLM,10064,BOX 38087,"Föremålet för bolagets verksamhet är att bedriva handel med fastigheter, bolag och förvaltning av värdepapper, konsultverksamhet inom företags finansiering och management samt därmed förenlig verksamhet.",2003-02-12,active,,,,
556658-9130,Elmertech AB,Elmertech AB,46501,,46501; 43120,RONNEBY,37239,MURAREGATAN 3,Bolaget ska driva partihandel med datorer och kringutrustning samt därmed förenlig verksamhet.,2004-04-02,active,,,,
556392-0320,Rogers Engross Aktiebolag,Rogers Engross Aktiebolag,46900,,46900,HANDEN,13644,SÖDERBYMALMSVÄGEN 4 A,Bolaget skall bedriva import av zoologiska produkter och engross handel av den samma och därmed förenlig verksamhet samt förvalta fast och lös egendom.,1990-04-20,active,,,,
556659-6085,Holgergatans Stations AB,Holgergatans Stations AB,47811,,47811; 47300,HALMSTAD,30102,BOX 32,"Bolaget ska förvalta fast egendom, driva handel med värdepapper, fastigheter och bilar samt därmed förenlig verksamhet.",2004-04-08,active,,,,
